Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
86.6,21.322289,121.0,55.0,86.6,92.545456,43.50207,198.0,55.0,92.54545454545455,48.64113998413086,47819,5.6939990520477295,,45
81.2,26.969612,117.0,51.0,81.2,83.666664,32.88448,162.0,47.0,83.66666666666667,40.05958557128906,48823,5.798064947128296,,46
116.5,15.850867,132.0,93.0,116.5,87.333336,38.521282,182.0,46.0,87.33333333333333,45.87900924682617,49871,5.914427995681763,,47
75.333336,14.62494,105.0,61.0,75.33333333333333,64.0,13.779513,91.0,42.0,64.0,29.62363052368164,50895,6.032407999038696,,48
80.166664,21.751757,107.0,48.0,80.16666666666667,85.38461,29.005405,148.0,54.0,85.38461538461539,41.02268600463867,52005,6.143196105957031,,49
73.166664,16.01475,106.0,55.0,73.16666666666667,87.5,25.444384,145.0,54.0,87.5,39.773712158203125,53055,6.245564937591553,,50
69.166664,19.029947,99.0,51.0,69.16666666666667,69.2,16.702095,105.0,42.0,69.2,31.562864303588867,54093,6.3461220264434814,,51
72.166664,10.605292,85.0,52.0,72.16666666666667,94.09091,39.46334,200.0,50.0,94.0909090909091,47.845149993896484,55128,6.445917129516602,,52
70.333336,14.043583,93.0,53.0,70.33333333333333,83.07692,27.119286,142.0,55.0,83.07692307692308,40.903507232666016,56208,6.548580884933472,,53
85.6,23.787392,112.0,54.0,85.6,77.23077,16.92133,113.0,61.0,77.23076923076923,35.528038024902344,57212,6.645163059234619,,54
78.666664,16.947632,102.0,58.0,78.66666666666667,84.0,38.37751,200.0,55.0,84.0,46.3338737487793,58220,6.743990182876587,,55
83.6,35.2,151.0,55.0,83.6,102.4,40.67972,195.0,57.0,102.4,53.27682113647461,59244,6.842006206512451,,56
83.5,23.577885,129.0,62.0,83.5,77.76923,17.659836,105.0,54.0,77.76923076923077,34.96370315551758,60255,6.944617986679077,,57
91.6,14.122323,114.0,70.0,91.6,94.63636,22.042408,144.0,65.0,94.63636363636364,44.82802200317383,61296,7.17109489440918,,58
104.0,28.495613,146.0,66.0,104.0,81.84615,18.592165,121.0,46.0,81.84615384615384,39.38848876953125,62360,7.278595924377441,,59
78.166664,11.538583,94.0,63.0,78.16666666666667,95.0,26.333525,162.0,64.0,95.0,43.93299865722656,63405,7.387714862823486,,60
